Theta[deg],Phi[deg],dB(RealizedGainLHCP)
290,350,-1.03902
300,350,-1.36103
310,350,-2.49879
320,350,-4.79193
330,350,-8.94434
340,350,-15.2803
350,350,-12.3323
360,350,-7.91829
0,360,-7.91829
10,360,-5.87028
20,360,-5.36802
30,360,-5.95614
40,360,-7.31008
50,360,-9.02457
60,360,-10.5762
70,360,-11.6919
80,360,-12.6618
90,360,-13.9626
100,360,-15.9619
110,360,-18.9042
120,360,-20.1
130,360,-14.8311
140,360,-9.51757
150,360,-5.58827
160,360,-2.76755
170,360,-0.834823
180,360,0.358597
190,360,0.928131
200,360,0.98091
210,360,0.635397
220,360,0.0382937
230,360,-0.622163
240,360,-1.12023
250,360,-1.25958
260,360,-1.00823
270,360,-0.547048
280,360,-0.150207
290,360,-0.0673203
300,360,-0.509745
310,360,-1.70081
320,360,-3.96873
330,360,-7.92897
340,360,-13.9032
350,360,-12.2654
360,360,-7.91829
